(5, 2, 1, 1, 2)
(13, 5, 1, 3, 2)
(17, 4, 1, 1, 4)
(29, 12, 1, 5, 2)
(37, 6, 1, 1, 6)
(41, 9, 1, 5, 4)
(53, 23, 1, 7, 2)
(61, 11, 1, 5, 6)
(73, 27, 2, 3, 8)
(89, 34, 2, 5, 8)
(97, 22, 1, 9, 4)
(101, 10, 1, 1, 10)
(109, 33, 1, 3, 10)
(113, 15, 1, 7, 8)
(137, 37, 1, 11, 4)
(149, 44, 1, 7, 10)
(157, 28, 1, 11, 6)
(173, 80, 1, 13, 2)
(181, 19, 1, 9, 10)
(193, 81, 1, 7, 12)
(197, 14, 1, 1, 14)
(229, 107, 1, 15, 2)
(233, 89, 2, 13, 8)
(241, 64, 1, 15, 4)
(257, 16, 1, 1, 16)
(269, 82, 1, 13, 10)
(277, 60, 1, 9, 14)
(281, 53, 2, 5, 16)
(293, 138, 1, 17, 2)
(313, 25, 1, 13, 12)
(317, 114, 1, 11, 14)
(337, 148, 2, 9, 16)
(349, 136, 1, 5, 18)
(353, 42, 1, 17, 8)
(373, 104, 1, 7, 18)
(389, 115, 1, 17, 10)
(397, 63, 1, 19, 6)
(401, 20, 1, 1, 20)
(409, 143, 1, 3, 20)
(421, 29, 1, 15, 14)
(433, 179, 1, 17, 12)
(449, 67, 1, 7, 20)
(457, 109, 1, 21, 4)
(461, 48, 1, 19, 10)
(509, 208, 1, 5, 22)
(521, 235, 1, 11, 20)
(541, 52, 1, 21, 10)
(557, 118, 1, 19, 14)
(569, 86, 1, 13, 20)
(577, 24, 1, 1, 24)
(593, 77, 1, 23, 8)
(601, 125, 3, 5, 24)
(613, 35, 1, 17, 18)
(617, 194, 2, 19, 16)
(641, 154, 1, 25, 4)
(653, 149, 1, 13, 22)
(661, 106, 1, 25, 6)
(673, 58, 1, 23, 12)
(677, 26, 1, 1, 26)
(701, 135, 1, 5, 26)
(709, 96, 1, 15, 22)
(733, 353, 1, 27, 2)
(757, 87, 1, 9, 26)
(761, 39, 1, 19, 20)
(769, 62, 1, 25, 12)
(773, 317, 1, 17, 22)
(797, 215, 1, 11, 26)
(809, 318, 1, 5, 28)
(821, 295, 1, 25, 14)
(829, 246, 1, 27, 10)
(853, 333, 1, 23, 18)
(857, 207, 1, 29, 4)
(877, 151, 1, 29, 6)
(881, 387, 2, 25, 16)
(929, 324, 1, 23, 20)
(937, 196, 3, 19, 24)
(941, 97, 1, 29, 10)
(953, 442, 1, 13, 28)
(977, 252, 1, 31, 4)
(997, 161, 1, 31, 6)
(1009, 469, 1, 15, 28)
(1013, 45, 1, 23, 22)
(1021, 374, 1, 11, 30)
(1033, 355, 2, 3, 32)
(1049, 426, 2, 5, 32)
(1061, 103, 1, 31, 10)
(1069, 249, 1, 13, 30)
(1093, 530, 1, 33, 2)
